Date,Gold Price VN,Silver Price VN,Silver Price International,RSI Index,Correlation Value
2024-07-12,11732767,1110000.0,30.79,46.23482285179281,
2024-07-15,11843260,1110000.0,30.68,51.22336927402432,
2024-07-16,11833424,1110000.0,31.25,51.714568198737766,
2024-07-17,11877442,1110000.0,30.31,49.90436863591572,
2024-07-18,11872833,1090000.0,29.83,50.18123549667774,
2024-07-19,11863094,1060000.0,29.22,50.38917917024386,
2024-07-22,11760627,1030000.0,29.13,47.469398540271094,
2024-07-23,11895340,1025000.0,29.23,49.58188535433502,
2024-07-24,11892844,1065000.0,28.9,51.512551183906005,
2024-07-25,11694268,1025000.0,27.85,50.48210333664535,
2024-07-26,11733153,985000.0,27.93,48.0500903295243,
2024-07-29,11760805,1000000.0,27.86,52.42594210445937,
2024-07-30,11716854,985000.0,28.39,39.47452515528571,
2024-07-31,11882980,1000000.0,29.0,50.153086524157494,
2024-08-01,11699095,1000000.0,28.52,48.437415889056155,
2024-08-02,11770446,1000000.0,28.56,46.49360880821032,
2024-08-05,11761112,977500.0,27.24,46.51609844652448,
2024-08-06,11729073,950000.0,26.97,42.76829433537755,
2024-08-07,11871289,940000.0,26.61,49.93364448226366,
2024-08-08,11760510,952500.0,27.54,45.94359692203057,
2024-08-09,11799475,965000.0,27.46,51.617361994657635,
2024-08-12,11698494,975000.0,27.96,41.56785774256449,
2024-08-13,11681210,985000.0,27.85,41.04781290396811,
2024-08-14,11681501,987500.0,27.57,49.35109820795963,
2024-08-15,7800000,985416.6666666667,28.36,9.253380656831098,
2024-08-16,7800000,983333.3333333334,29.04,8.730463210580027,
2024-08-19,7810000,1010000.0,29.45,9.002546197577544,
2024-08-20,7900000,1022500.0,29.44,7.525083041385685,
2024-08-21,7900000,1015000.0,29.61,7.832259390717454,
2024-08-22,7900000,1009712.5,28.98,6.348911329704805,0.1326542852012493
2024-08-23,7900000,1004425.0,29.83,6.362306444583879,0.11308872724451315
2024-08-26,7900000,1033500.0,29.91,6.408718363339673,0.0404353069396377
2024-08-27,7900000,1047600.0,29.97,3.2767651944173366,-0.0661284604586278
2024-08-28,7900000,1038666.6666666666,29.13,3.3644662917954946,-0.19153707762457978
2024-08-29,7900000,1040000.0,29.42,2.4460879446310173,-0.3293712675651025
2024-08-30,7900000,1044000.0,28.87,2.5078543143466163,-0.44213274652106704
2024-09-02,7900000,1020000.0,28.56,2.5187403058723277,-0.48891615113246
2024-09-03,7900000,1015000.0,28.04,2.5116155942193643,-0.5303871587060915
2024-09-04,7900000,995000.0,28.27,100.0,-0.6498877850275877
2024-09-05,7850000,1006666.6666666666,28.82,66.66666666666666,-0.6995298729711579
2024-09-06,7850000,1018000.0,27.94,64.28571428571428,-0.7027311672481814
2024-09-09,7850000,985000.0,28.35,0.0,-0.6913644315364403
2024-09-10,7850000,997666.6666666666,28.4,0.0,-0.6801865929559618
2024-09-11,7850000,1006666.6666666666,28.68,0.0,-0.7022662101619944
2024-09-12,7850000,1010000.0,29.88,0.0,-0.7270099123270183
2024-09-13,7850000,1053000.0,30.72,0.0,-0.7485103377286952
2024-09-16,7850000,1077666.6666666667,30.74,0.0,-0.7148733657989822
